TIME,FLUX,FLUX_ERR,CADENCENO,MOM_CENTR1,MOM_CENTR2,QUALITY
1365.1739025285692,24620.604,19.601503,99158,664.0141650314114,338.8597866744521,0
1365.1752913943265,24617.459,19.596413,99159,664.0063907280788,338.8515231228559,0
1365.1766802602,24593.562,19.606861,99160,664.009361899484,338.85665571851507,0
1365.1780691259573,24612.918,19.608324,99161,664.0029443483087,338.8563273758246,0
1365.1794579917146,24636.885,19.608932,99162,664.008764122177,338.854109260582,0
1365.1808468575869,24609.479,19.611183,99163,664.0069724490367,338.8573174884275,0
1365.1822357233434,24610.572,19.614431,99164,664.009206043564,338.8560971365153,0
1365.1836245891009,24585.428,19.598154,99165,664.0090134306203,338.8568525462442,0
1365.185013454858,24614.826,19.609331,99166,664.0018917188534,338.8549795374079,0
1365.1864023207318,24615.402,19.611141,99167,664.0118556776117,338.8611743389391,0
1365.1877911864876,24640.223,19.616852,99168,664.0073428142226,338.8579295119527,0
1365.189180052244,24642.75,19.61974,99169,664.0055641792753,338.8541582393869,0
1365.1905689180012,24603.863,19.606707,99170,664.0031821726988,338.8531538347331,0
1365.1919577838744,24620.943,19.610628,99171,664.0048679856625,338.85516317193424,0
1365.1933466496316,24583.697,19.612747,99172,664.0077693675761,338.8527530734483,0
1365.1947355153889,24598.773,19.61163,99173,664.0096421166036,338.8539333857014,0
1365.1961243811452,24621.643,19.623512,99174,664.0027278489459,338.857450100613,0
1365.197513246902,24628.117,19.615383,99175,664.0064079615573,338.85192093673896,0
1365.1989021126583,24605.398,19.607027,99176,664.009047784866,338.85390650874893,0
1365.2002909784155,24612.797,19.607767,99177,664.0042869507025,338.8541575308677,0
1365.2016798442892,24590.418,19.603546,99178,664.0088981549717,338.846106968414,0
1365.2030687100464,24627.326,19.619587,99179,664.0090456674315,338.8620597368305,0
1365.2044575758032,24632.312,19.614302,99180,664.0040084580651,338.85365754034143,0
1365.205846441559,24591.84,19.60585,99181,664.0045375622402,338.8539630768852,0
1365.2072353073163,24639.82,19.619823,99182,664.0133089565102,338.8646453848135,0
1365.2086241730735,24624.055,19.620714,99183,664.0027646339131,338.84803986863193,0
1365.2100130388299,24623.332,19.615337,99184,664.0118778116408,338.85936192003874,0
1365.2114019045873,24606.074,19.617422,99185,664.0027699004953,338.85196704622734,0
1365.2127907703439,24626.629,19.620386,99186,664.0114107910105,338.8621108330399,0
1365.2141796361007,24640.752,19.62226,99187,664.003214888549,338.851217581042,0
1365.215568501858,24612.658,19.61726,99188,664.0031187727918,338.8660398931297,0
1365.2169573676142,24634.916,19.609035,99189,664.0103164856539,338.8479686203521,0
1365.2183462333714,24614.7,19.619007,99190,664.0052157288144,338.85720747195984,0
1365.2197350991287,24592.87,19.603928,99191,664.0119561866376,338.8521386840628,0
1365.221123964769,24633.736,19.61851,99192,664.0074957927986,338.8590058314448,0
1365.2225128305254,24610.844,19.610968,99193,664.002536048984,338.8567031059372,0
1365.2239016962822,24604.832,19.610317,99194,664.0106520683939,338.8574800765538,0
1365.2252905620394,24596.123,19.608286,99195,664.0068663448865,338.86060843914356,0
1365.2266794277966,24601.834,19.608404,99196,664.0113312153334,338.8497334729971,0
1365.228068293553,24594.992,19.611519,99197,664.0090778218571,338.8550713723846,0
1365.2294571593097,24657.645,19.621881,99198,664.0031661367415,338.85678342855454,0
1365.2308460249496,24644.05,19.619362,99199,664.0087603595696,338.8520836243611,0
1365.2322348907069,24634.176,19.622627,99200,664.00271813352,338.8580023890043,0
1365.233623756464,24633.018,19.610216,99201,664.0048744430122,338.84938855480567,0
1365.235012622221,24625.268,19.613697,99202,664.0094541533252,338.8606579703103,0
1365.2364014878617,24616.982,19.621035,99203,664.002447110651,338.8509373449833,0
1365.237790353618,24623.14,19.609858,99204,664.013857352352,338.85876618254434,0
1365.2391792193748,24610.773,19.613886,99205,664.0004118200103,338.8406776606112,0
1365.240568085132,24602.33,19.606215,99206,664.0116627375949,338.85419235196224,0
1365.2419569507724,24609.203,19.6128,99207,663.999439135557,338.85465774568326,0
1365.2433458165297,24620.29,19.60756,99208,664.0104223305966,338.86468940273613,0
1365.244734682286,24636.535,19.62052,99209,664.0055143653135,338.84406128394636,0
1365.2461235479254,24620.275,19.616909,99210,664.0051849740767,338.8568166535097,0
1365.2475124136827,24607.629,19.612457,99211,664.01803320449,338.8664439678664,0
1365.24890127944,24680.398,19.624382,99212,663.9944142537689,338.85080979757,0
1365.2502901450807,24618.518,19.611675,99213,664.0108171824147,338.8533898744229,0
1365.251679010838,24620.076,19.61208,99214,664.0079490260749,338.85734426866304,0
1365.2530678764774,24634.588,19.61392,99215,664.0065311636371,338.85755592981485,0
1365.2544567422342,24622.344,19.606861,99216,664.0126322343966,338.8553362056221,0
1365.255845607875,24625.182,19.612663,99217,664.0073124246726,338.86278264733966,0
1365.2572344736323,24633.035,19.612547,99218,664.0062299364246,338.84995576131337,0
1365.258623339273,24632.246,19.611752,99219,664.0128631577818,338.8556921198064,0
1365.2600122050294,24657.055,19.617819,99220,664.0021127643143,338.8579426460259,0
1365.2614010706698,24643.28,19.620216,99221,664.0075792740226,338.863685082538,0
1365.262789936426,24597.293,19.599817,99222,664.0058571652802,338.8503812728533,0
1365.2641788020665,24625.736,19.61481,99223,664.012503110676,338.85410023370997,0
1365.2655676678237,24608.209,19.597479,99224,664.007581300423,338.8622603097786,0
1365.2669565334645,24645.182,19.614912,99225,664.0019921144103,338.85209066780243,0
1365.2683453992217,24585.082,19.599657,99226,664.0056229937936,338.8572345904901,0
1365.269734264862,24637.94,19.61309,99227,664.0107937920579,338.8473960978066,0
1365.2711231305016,24590.33,19.597092,99228,664.0062301990594,338.8591817081954,0
1365.2725119962588,24615.79,19.61282,99229,664.0050548203023,338.8578985532979,0
1365.2739008618996,24607.81,19.602503,99230,664.0056154480625,338.8417325041482,0
1365.2752897275404,24589.146,19.598368,99231,664.0057754934727,338.8593712061038,0
1365.2766785932977,24648.598,19.610004,99232,664.0039240262238,338.8455659204936,0
1365.2780674589371,24576.828,19.602268,99233,664.0166153582225,338.8576904499825,0
1365.279456324577,24613.068,19.600641,99234,664.0036577651152,338.8565287391893,0
1365.2808451903343,24636.35,19.614733,99235,664.0103247698436,338.84650697303107,0
1365.2822340559746,24594.205,19.59193,99236,664.0027035402727,338.86031234657617,0
1365.2850117872563,24616.004,19.609669,99238,664.009406288828,338.8597992725724,0
1365.2864006530126,24611.232,19.60862,99239,664.0057313502122,338.84654112450426,0
1365.287789518653,24615.807,19.604364,99240,664.0051516131773,338.86497892711543,0
